industry,date,layoff_events,initial_claims
Agricultural Services,2021-01-01,0.0,0.0
Mining,2021-01-01,0.0,0.0
Construction,2021-01-01,10.0,628.0
Manufacturing,2021-01-01,23.0,5526.0
Wholesale Trade,2021-01-01,5.0,582.0
Retail Trade,2021-01-01,10.0,2324.0
"Transportation, Warehousing, Utilities",2021-01-01,10.0,1895.0
Financial Activities,2021-01-01,7.0,824.0
Professional & Business Services,2021-01-01,16.0,1807.0
Educational and Health Services,2021-01-01,18.0,2188.0
Leisure and Hospitality,2021-01-01,6.0,680.0
Agricultural Services,2020-12-01,0.0,0.0
Mining,2020-12-01,3.0,223.0
Construction,2020-12-01,31.0,2597.0
Manufacturing,2020-12-01,25.0,2005.0
Wholesale Trade,2020-12-01,10.0,676.0
Retail Trade,2020-12-01,7.0,541.0
"Transportation, Warehousing, Utilities",2020-12-01,12.0,2140.0
Financial Activities,2020-12-01,15.0,1485.0
Professional & Business Services,2020-12-01,44.0,3497.0
Educational and Health Services,2020-12-01,27.0,2385.0
Leisure and Hospitality,2020-12-01,12.0,892.0
Agricultural Services,2020-11-01,0.0,0.0
Mining,2020-11-01,0.0,0.0
Construction,2020-11-01,11.0,861.0
Manufacturing,2020-11-01,23.0,1748.0
Wholesale Trade,2020-11-01,4.0,254.0
Retail Trade,2020-11-01,15.0,1489.0
"Transportation, Warehousing, Utilities",2020-11-01,11.0,959.0
Information,2020-11-01,4.0,414.0
Financial Activities,2020-11-01,10.0,758.0
Professional & Business Services,2020-11-01,31.0,2339.0
Educational and Health Services,2020-11-01,26.0,2043.0
Leisure and Hospitality,2020-11-01,39.0,3553.0
Other Services,2020-11-01,4.0,237.0
Agricultural Services,2020-10-01,0.0,0.0
Construction,2020-10-01,8.0,628.0
Manufacturing,2020-10-01,30.0,5920.0
Wholesale Trade,2020-10-01,8.0,949.0
Retail Trade,2020-10-01,24.0,2889.0
"Transportation, Warehousing, Utilities",2020-10-01,15.0,2730.0
Information,2020-10-01,7.0,549.0
Financial Activities,2020-10-01,25.0,2703.0
Professional & Business Services,2020-10-01,36.0,3740.0
Educational and Health Services,2020-10-01,44.0,5106.0
Leisure and Hospitality,2020-10-01,20.0,2026.0
Agricultural Services,2020-09-01,0.0,0.0
Mining,2020-09-01,0.0,0.0
Construction,2020-09-01,0.0,0.0
Manufacturing,2020-09-01,3.0,192.0
"Transportation, Warehousing, Utilities",2020-09-01,4.0,614.0
Educational and Health Services,2020-09-01,5.0,366.0
Leisure and Hospitality,2020-09-01,7.0,461.0
Other Services,2020-09-01,0.0,0.0
Agricultural Services,2020-08-01,0.0,0.0
Manufacturing,2020-08-01,6.0,586.0
Wholesale Trade,2020-08-01,0.0,0.0
Retail Trade,2020-08-01,9.0,710.0
"Transportation, Warehousing, Utilities",2020-08-01,4.0,265.0
Professional & Business Services,2020-08-01,3.0,279.0
Educational and Health Services,2020-08-01,3.0,214.0
Agricultural Services,2020-07-01,0.0,0.0
Manufacturing,2020-07-01,42.0,6156.0
Wholesale Trade,2020-07-01,4.0,370.0
Retail Trade,2020-07-01,21.0,2299.0
"Transportation, Warehousing, Utilities",2020-07-01,10.0,991.0
Information,2020-07-01,5.0,442.0
Professional & Business Services,2020-07-01,29.0,3026.0
Educational and Health Services,2020-07-01,13.0,1707.0
Leisure and Hospitality,2020-07-01,19.0,1507.0
Other Services,2020-07-01,3.0,224.0
Agricultural Services,2020-06-01,0.0,0.0
Construction,2020-06-01,3.0,188.0
Manufacturing,2020-06-01,22.0,3406.0
Retail Trade,2020-06-01,3.0,177.0
"Transportation, Warehousing, Utilities",2020-06-01,10.0,1733.0
Professional & Business Services,2020-06-01,7.0,639.0
Educational and Health Services,2020-06-01,11.0,896.0
Leisure and Hospitality,2020-06-01,9.0,823.0
Construction,2020-05-01,4.0,231.0
Manufacturing,2020-05-01,59.0,6745.0
Wholesale Trade,2020-05-01,20.0,1625.0
Retail Trade,2020-05-01,12.0,1268.0
"Transportation, Warehousing, Utilities",2020-05-01,10.0,999.0
Information,2020-05-01,7.0,984.0
Financial Activities,2020-05-01,6.0,458.0
Professional & Business Services,2020-05-01,39.0,4030.0
Educational and Health Services,2020-05-01,36.0,3294.0
Leisure and Hospitality,2020-05-01,11.0,838.0
Other Services,2020-05-01,4.0,317.0
Mining,2020-04-01,5.0,794.0
Construction,2020-04-01,30.0,2296.0
Manufacturing,2020-04-01,141.0,18987.0
Wholesale Trade,2020-04-01,45.0,3962.0
Retail Trade,2020-04-01,181.0,26216.0
"Transportation, Warehousing, Utilities",2020-04-01,40.0,5429.0
Information,2020-04-01,14.0,1829.0
Financial Activities,2020-04-01,17.0,1607.0
Professional & Business Services,2020-04-01,130.0,12653.0
Educational and Health Services,2020-04-01,122.0,16404.0
Leisure and Hospitality,2020-04-01,134.0,13124.0
Other Services,2020-04-01,39.0,3525.0
Agricultural Services,2020-03-01,0.0,0.0
Mining,2020-03-01,0.0,0.0
Construction,2020-03-01,24.0,1605.0
Manufacturing,2020-03-01,69.0,16582.0
Wholesale Trade,2020-03-01,20.0,1869.0
Retail Trade,2020-03-01,63.0,6034.0
"Transportation, Warehousing, Utilities",2020-03-01,36.0,6890.0
Information,2020-03-01,8.0,1448.0
Financial Activities,2020-03-01,10.0,1125.0
Professional & Business Services,2020-03-01,63.0,7487.0
Educational and Health Services,2020-03-01,48.0,5292.0
Leisure and Hospitality,2020-03-01,185.0,26344.0
Other Services,2020-03-01,25.0,3393.0
Agricultural Services,2020-02-01,0.0,0.0
Mining,2020-02-01,0.0,0.0
Construction,2020-02-01,6.0,584.0
Manufacturing,2020-02-01,4.0,656.0
Wholesale Trade,2020-02-01,0.0,0.0
Information,2020-02-01,0.0,0.0
Financial Activities,2020-02-01,0.0,0.0
Agricultural Services,2020-01-01,0.0,0.0
Construction,2020-01-01,16.0,1060.0
Manufacturing,2020-01-01,9.0,3968.0
"Transportation, Warehousing, Utilities",2020-01-01,3.0,515.0
Information,2020-01-01,0.0,0.0
Financial Activities,2020-01-01,0.0,0.0
Professional & Business Services,2020-01-01,6.0,582.0
Leisure and Hospitality,2020-01-01,5.0,346.0
Agricultural Services,2019-12-01,0.0,0.0
Construction,2019-12-01,35.0,3122.0
Manufacturing,2019-12-01,14.0,1165.0
Wholesale Trade,2019-12-01,0.0,0.0
"Transportation, Warehousing, Utilities",2019-12-01,9.0,1352.0
Financial Activities,2019-12-01,0.0,0.0
Professional & Business Services,2019-12-01,22.0,1910.0
Leisure and Hospitality,2019-12-01,9.0,1232.0
Other Services,2019-12-01,0.0,0.0
Agricultural Services,2019-11-01,0.0,0.0
Mining,2019-11-01,0.0,0.0
Construction,2019-11-01,19.0,1765.0
Manufacturing,2019-11-01,16.0,1592.0
"Transportation, Warehousing, Utilities",2019-11-01,5.0,421.0
Professional & Business Services,2019-11-01,9.0,758.0
Educational and Health Services,2019-11-01,3.0,177.0
Other Services,2019-11-01,0.0,0.0
Agricultural Services,2019-10-01,0.0,0.0
Mining,2019-10-01,0.0,0.0
Construction,2019-10-01,3.0,215.0
Manufacturing,2019-10-01,10.0,891.0
Wholesale Trade,2019-10-01,0.0,0.0
Information,2019-10-01,0.0,0.0
Financial Activities,2019-10-01,0.0,0.0
Professional & Business Services,2019-10-01,6.0,418.0
Other Services,2019-10-01,0.0,0.0
Agricultural Services,2019-09-01,0.0,0.0
Mining,2019-09-01,0.0,0.0
Manufacturing,2019-09-01,5.0,708.0
Wholesale Trade,2019-09-01,0.0,0.0
"Transportation, Warehousing, Utilities",2019-09-01,0.0,0.0
Information,2019-09-01,0.0,0.0
Educational and Health Services,2019-09-01,3.0,181.0
Other Services,2019-09-01,0.0,0.0
Agricultural Services,2019-08-01,0.0,0.0
Mining,2019-08-01,0.0,0.0
Manufacturing,2019-08-01,8.0,3541.0
Wholesale Trade,2019-08-01,0.0,0.0
"Transportation, Warehousing, Utilities",2019-08-01,4.0,515.0
Financial Activities,2019-08-01,0.0,0.0
Professional & Business Services,2019-08-01,3.0,242.0
Other Services,2019-08-01,0.0,0.0
Agricultural Services,2019-07-01,0.0,0.0
Mining,2019-07-01,0.0,0.0
Construction,2019-07-01,0.0,0.0
Manufacturing,2019-07-01,16.0,4994.0
Wholesale Trade,2019-07-01,0.0,0.0
Retail Trade,2019-07-01,3.0,249.0
"Transportation, Warehousing, Utilities",2019-07-01,5.0,400.0
Information,2019-07-01,0.0,0.0
Financial Activities,2019-07-01,0.0,0.0
Professional & Business Services,2019-07-01,7.0,509.0
Educational and Health Services,2019-07-01,0.0,0.0
Agricultural Services,2019-06-01,0.0,0.0
Mining,2019-06-01,0.0,0.0
Construction,2019-06-01,8.0,591.0
Manufacturing,2019-06-01,5.0,508.0
Wholesale Trade,2019-06-01,0.0,0.0
"Transportation, Warehousing, Utilities",2019-06-01,11.0,851.0
Information,2019-06-01,3.0,211.0
Financial Activities,2019-06-01,0.0,0.0
Leisure and Hospitality,2019-06-01,6.0,1201.0
Agricultural Services,2019-05-01,0.0,0.0
Mining,2019-05-01,0.0,0.0
Construction,2019-05-01,4.0,332.0
Manufacturing,2019-05-01,6.0,1810.0
Wholesale Trade,2019-05-01,0.0,0.0
"Transportation, Warehousing, Utilities",2019-05-01,4.0,619.0
Professional & Business Services,2019-05-01,3.0,181.0
Educational and Health Services,2019-05-01,7.0,402.0
Leisure and Hospitality,2019-05-01,4.0,315.0
Other Services,2019-05-01,0.0,0.0
Agricultural Services,2019-04-01,0.0,0.0
Mining,2019-04-01,0.0,0.0
Construction,2019-04-01,4.0,640.0
Manufacturing,2019-04-01,7.0,536.0
Wholesale Trade,2019-04-01,0.0,0.0
Financial Activities,2019-04-01,0.0,0.0
Professional & Business Services,2019-04-01,5.0,477.0
Other Services,2019-04-01,0.0,0.0
Agricultural Services,2019-03-01,0.0,0.0
Mining,2019-03-01,0.0,0.0
Construction,2019-03-01,6.0,630.0
Manufacturing,2019-03-01,10.0,4150.0
Wholesale Trade,2019-03-01,0.0,0.0
"Transportation, Warehousing, Utilities",2019-03-01,4.0,774.0
Financial Activities,2019-03-01,0.0,0.0
Professional & Business Services,2019-03-01,9.0,784.0
Leisure and Hospitality,2019-03-01,5.0,650.0
Other Services,2019-03-01,0.0,0.0
Agricultural Services,2019-02-01,0.0,0.0
Mining,2019-02-01,0.0,0.0
Construction,2019-02-01,6.0,354.0
Manufacturing,2019-02-01,3.0,276.0
Wholesale Trade,2019-02-01,0.0,0.0
Information,2019-02-01,0.0,0.0
Professional & Business Services,2019-02-01,4.0,330.0
Leisure and Hospitality,2019-02-01,0.0,0.0
Other Services,2019-02-01,0.0,0.0
Agricultural Services,2019-01-01,0.0,0.0
Construction,2019-01-01,7.0,419.0
Retail Trade,2019-01-01,5.0,539.0
Information,2019-01-01,0.0,0.0
Financial Activities,2019-01-01,0.0,0.0
Professional & Business Services,2019-01-01,3.0,192.0
Other Services,2019-01-01,0.0,0.0
Agricultural Services,2018-12-01,0.0,0.0
Construction,2018-12-01,39.0,3223.0
Manufacturing,2018-12-01,7.0,739.0
Wholesale Trade,2018-12-01,0.0,0.0
Retail Trade,2018-12-01,0.0,0.0
"Transportation, Warehousing, Utilities",2018-12-01,6.0,1046.0
Information,2018-12-01,0.0,0.0
Professional & Business Services,2018-12-01,16.0,1594.0
Educational and Health Services,2018-12-01,1.0,51.0
Leisure and Hospitality,2018-12-01,9.0,1051.0
Other Services,2018-12-01,0.0,0.0
Agricultural Services,2018-11-01,0.0,0.0
Mining,2018-11-01,0.0,0.0
Construction,2018-11-01,22.0,1793.0
Manufacturing,2018-11-01,8.0,755.0
Wholesale Trade,2018-11-01,0.0,0.0
"Transportation, Warehousing, Utilities",2018-11-01,4.0,495.0
Professional & Business Services,2018-11-01,15.0,1322.0
Educational and Health Services,2018-11-01,0.0,0.0
Leisure and Hospitality,2018-11-01,4.0,318.0
Other Services,2018-11-01,0.0,0.0
Agricultural Services,2018-10-01,0.0,0.0
Mining,2018-10-01,0.0,0.0
Manufacturing,2018-10-01,15.0,5295.0
Wholesale Trade,2018-10-01,0.0,0.0
Retail Trade,2018-10-01,4.0,536.0
"Transportation, Warehousing, Utilities",2018-10-01,4.0,539.0
Information,2018-10-01,0.0,0.0
Professional & Business Services,2018-10-01,6.0,644.0
Other Services,2018-10-01,0.0,0.0
Agricultural Services,2018-09-01,0.0,0.0
Mining,2018-09-01,0.0,0.0
Construction,2018-09-01,3.0,276.0
Manufacturing,2018-09-01,5.0,422.0
Wholesale Trade,2018-09-01,0.0,0.0
"Transportation, Warehousing, Utilities",2018-09-01,0.0,0.0
Information,2018-09-01,0.0,0.0
Professional & Business Services,2018-09-01,3.0,239.0
Educational and Health Services,2018-09-01,0.0,0.0
Leisure and Hospitality,2018-09-01,0.0,0.0
Other Services,2018-09-01,0.0,0.0
Agricultural Services,2018-08-01,0.0,0.0
Mining,2018-08-01,0.0,0.0
Construction,2018-08-01,3.0,221.0
Manufacturing,2018-08-01,4.0,412.0
Wholesale Trade,2018-08-01,0.0,0.0
"Transportation, Warehousing, Utilities",2018-08-01,0.0,0.0
Information,2018-08-01,0.0,0.0
Financial Activities,2018-08-01,0.0,0.0
Professional & Business Services,2018-08-01,3.0,232.0
Other Services,2018-08-01,0.0,0.0
Agricultural Services,2018-07-01,0.0,0.0
Mining,2018-07-01,0.0,0.0
Construction,2018-07-01,0.0,0.0
Manufacturing,2018-07-01,3.0,237.0
"Transportation, Warehousing, Utilities",2018-07-01,3.0,267.0
Information,2018-07-01,0.0,0.0
Financial Activities,2018-07-01,0.0,0.0
Educational and Health Services,2018-07-01,4.0,255.0
Agricultural Services,2018-06-01,0.0,0.0
Mining,2018-06-01,0.0,0.0
Manufacturing,2018-06-01,7.0,926.0
"Transportation, Warehousing, Utilities",2018-06-01,13.0,1181.0
Financial Activities,2018-06-01,0.0,0.0
Professional & Business Services,2018-06-01,7.0,589.0
Educational and Health Services,2018-06-01,6.0,420.0
Leisure and Hospitality,2018-06-01,7.0,1061.0
Agricultural Services,2018-05-01,0.0,0.0
Mining,2018-05-01,0.0,0.0
Construction,2018-05-01,4.0,609.0
Manufacturing,2018-05-01,6.0,474.0
Wholesale Trade,2018-05-01,0.0,0.0
"Transportation, Warehousing, Utilities",2018-05-01,0.0,0.0
Information,2018-05-01,0.0,0.0
Professional & Business Services,2018-05-01,5.0,707.0
Leisure and Hospitality,2018-05-01,0.0,0.0
Other Services,2018-05-01,0.0,0.0
Agricultural Services,2018-04-01,0.0,0.0
Mining,2018-04-01,0.0,0.0
Construction,2018-04-01,7.0,566.0
Manufacturing,2018-04-01,4.0,394.0
Retail Trade,2018-04-01,5.0,621.0
Professional & Business Services,2018-04-01,6.0,780.0
Other Services,2018-04-01,0.0,0.0
Agricultural Services,2018-03-01,0.0,0.0
Mining,2018-03-01,0.0,0.0
Construction,2018-03-01,3.0,310.0
Manufacturing,2018-03-01,5.0,349.0
Wholesale Trade,2018-03-01,0.0,0.0
"Transportation, Warehousing, Utilities",2018-03-01,4.0,1885.0
Professional & Business Services,2018-03-01,5.0,373.0
Educational and Health Services,2018-03-01,0.0,0.0
Leisure and Hospitality,2018-03-01,6.0,710.0
Other Services,2018-03-01,0.0,0.0
Agricultural Services,2018-02-01,0.0,0.0
Mining,2018-02-01,0.0,0.0
Manufacturing,2018-02-01,4.0,274.0
"Transportation, Warehousing, Utilities",2018-02-01,0.0,0.0
Information,2018-02-01,0.0,0.0
Financial Activities,2018-02-01,0.0,0.0
Professional & Business Services,2018-02-01,10.0,992.0
Other Services,2018-02-01,0.0,0.0
Agricultural Services,2018-01-01,0.0,0.0
Mining,2018-01-01,0.0,0.0
Construction,2018-01-01,12.0,835.0
Manufacturing,2018-01-01,3.0,220.0
Retail Trade,2018-01-01,3.0,579.0
"Transportation, Warehousing, Utilities",2018-01-01,4.0,294.0
Information,2018-01-01,0.0,0.0
Leisure and Hospitality,2018-01-01,0.0,0.0
Other Services,2018-01-01,0.0,0.0
Agricultural Services,2017-12-01,0.0,0.0
Construction,2017-12-01,50.0,4326.0
Manufacturing,2017-12-01,10.0,1054.0
Retail Trade,2017-12-01,3.0,200.0
"Transportation, Warehousing, Utilities",2017-12-01,5.0,920.0
Information,2017-12-01,0.0,0.0
Professional & Business Services,2017-12-01,17.0,1573.0
Leisure and Hospitality,2017-12-01,13.0,1693.0
Other Services,2017-12-01,2.0,142.0
Agricultural Services,2017-11-01,0.0,0.0
Mining,2017-11-01,0.0,0.0
Construction,2017-11-01,8.0,602.0
Manufacturing,2017-11-01,8.0,1124.0
Wholesale Trade,2017-11-01,0.0,0.0
Retail Trade,2017-11-01,0.0,0.0
"Transportation, Warehousing, Utilities",2017-11-01,3.0,330.0
Financial Activities,2017-11-01,0.0,0.0
Professional & Business Services,2017-11-01,11.0,818.0
Other Services,2017-11-01,0.0,0.0
Agricultural Services,2017-10-01,0.0,0.0
Mining,2017-10-01,0.0,0.0
Construction,2017-10-01,3.0,203.0
Manufacturing,2017-10-01,4.0,292.0
Wholesale Trade,2017-10-01,0.0,0.0
"Transportation, Warehousing, Utilities",2017-10-01,0.0,0.0
Information,2017-10-01,0.0,0.0
Financial Activities,2017-10-01,0.0,0.0
Professional & Business Services,2017-10-01,7.0,587.0
Other Services,2017-10-01,0.0,0.0
Agricultural Services,2017-09-01,0.0,0.0
Construction,2017-09-01,6.0,422.0
Manufacturing,2017-09-01,4.0,388.0
"Transportation, Warehousing, Utilities",2017-09-01,0.0,0.0
Information,2017-09-01,3.0,182.0
Financial Activities,2017-09-01,0.0,0.0
Educational and Health Services,2017-09-01,0.0,0.0
Leisure and Hospitality,2017-09-01,0.0,0.0
Other Services,2017-09-01,0.0,0.0
Agricultural Services,2017-08-01,0.0,0.0
Mining,2017-08-01,0.0,0.0
Manufacturing,2017-08-01,6.0,532.0
Wholesale Trade,2017-08-01,0.0,0.0
Retail Trade,2017-08-01,4.0,248.0
"Transportation, Warehousing, Utilities",2017-08-01,0.0,0.0
Information,2017-08-01,0.0,0.0
Financial Activities,2017-08-01,0.0,0.0
Professional & Business Services,2017-08-01,3.0,175.0
Other Services,2017-08-01,0.0,0.0
Agricultural Services,2017-07-01,0.0,0.0
Mining,2017-07-01,0.0,0.0
Manufacturing,2017-07-01,10.0,1393.0
Wholesale Trade,2017-07-01,0.0,0.0
Retail Trade,2017-07-01,0.0,0.0
Information,2017-07-01,0.0,0.0
Financial Activities,2017-07-01,0.0,0.0
Professional & Business Services,2017-07-01,4.0,339.0
Other Services,2017-07-01,0.0,0.0
Agricultural Services,2017-06-01,0.0,0.0
Mining,2017-06-01,0.0,0.0
Construction,2017-06-01,3.0,500.0
Manufacturing,2017-06-01,6.0,528.0
Retail Trade,2017-06-01,5.0,374.0
"Transportation, Warehousing, Utilities",2017-06-01,13.0,1340.0
Financial Activities,2017-06-01,5.0,354.0
Professional & Business Services,2017-06-01,7.0,631.0
Educational and Health Services,2017-06-01,3.0,221.0
Leisure and Hospitality,2017-06-01,8.0,930.0
Other Services,2017-06-01,0.0,0.0
Agricultural Services,2017-05-01,0.0,0.0
Mining,2017-05-01,0.0,0.0
Construction,2017-05-01,6.0,827.0
Manufacturing,2017-05-01,3.0,241.0
Retail Trade,2017-05-01,3.0,177.0
"Transportation, Warehousing, Utilities",2017-05-01,0.0,0.0
Financial Activities,2017-05-01,0.0,0.0
Professional & Business Services,2017-05-01,0.0,0.0
Educational and Health Services,2017-05-01,3.0,186.0
Leisure and Hospitality,2017-05-01,3.0,227.0
Other Services,2017-05-01,0.0,0.0
Agricultural Services,2017-04-01,0.0,0.0
Construction,2017-04-01,5.0,359.0
Manufacturing,2017-04-01,6.0,708.0
Wholesale Trade,2017-04-01,0.0,0.0
Retail Trade,2017-04-01,4.0,247.0
Professional & Business Services,2017-04-01,6.0,579.0
Leisure and Hospitality,2017-04-01,3.0,221.0
Other Services,2017-04-01,0.0,0.0
Agricultural Services,2017-03-01,0.0,0.0
Mining,2017-03-01,0.0,0.0
Construction,2017-03-01,3.0,174.0
Manufacturing,2017-03-01,7.0,843.0
Wholesale Trade,2017-03-01,3.0,307.0
"Transportation, Warehousing, Utilities",2017-03-01,5.0,1360.0
Information,2017-03-01,0.0,0.0
Professional & Business Services,2017-03-01,9.0,787.0
Other Services,2017-03-01,0.0,0.0
Agricultural Services,2017-02-01,0.0,0.0
Mining,2017-02-01,0.0,0.0
Construction,2017-02-01,7.0,560.0
Wholesale Trade,2017-02-01,0.0,0.0
Information,2017-02-01,0.0,0.0
Financial Activities,2017-02-01,4.0,305.0
Professional & Business Services,2017-02-01,5.0,405.0
Educational and Health Services,2017-02-01,0.0,0.0
Other Services,2017-02-01,0.0,0.0
Agricultural Services,2017-01-01,0.0,0.0
Mining,2017-01-01,0.0,0.0
Construction,2017-01-01,9.0,590.0
Manufacturing,2017-01-01,6.0,767.0
Retail Trade,2017-01-01,5.0,439.0
"Transportation, Warehousing, Utilities",2017-01-01,3.0,526.0
Information,2017-01-01,0.0,0.0
Financial Activities,2017-01-01,0.0,0.0
Professional & Business Services,2017-01-01,11.0,934.0
Educational and Health Services,2017-01-01,0.0,0.0
Leisure and Hospitality,2017-01-01,3.0,294.0
Other Services,2017-01-01,0.0,0.0
Agricultural Services,2016-12-01,0.0,0.0
Construction,2016-12-01,44.0,4036.0
Manufacturing,2016-12-01,21.0,2309.0
Retail Trade,2016-12-01,4.0,300.0
"Transportation, Warehousing, Utilities",2016-12-01,6.0,906.0
Information,2016-12-01,0.0,0.0
Professional & Business Services,2016-12-01,23.0,2601.0
Leisure and Hospitality,2016-12-01,10.0,1323.0
Agricultural Services,2016-11-01,0.0,0.0
Mining,2016-11-01,0.0,0.0
Construction,2016-11-01,12.0,1113.0
Manufacturing,2016-11-01,8.0,1346.0
Wholesale Trade,2016-11-01,0.0,0.0
"Transportation, Warehousing, Utilities",2016-11-01,3.0,324.0
Information,2016-11-01,0.0,0.0
Professional & Business Services,2016-11-01,10.0,858.0
Leisure and Hospitality,2016-11-01,3.0,324.0
Other Services,2016-11-01,0.0,0.0
Agricultural Services,2016-10-01,0.0,0.0
Mining,2016-10-01,0.0,0.0
Construction,2016-10-01,4.0,313.0
Manufacturing,2016-10-01,8.0,586.0
Wholesale Trade,2016-10-01,0.0,0.0
"Transportation, Warehousing, Utilities",2016-10-01,0.0,0.0
Information,2016-10-01,0.0,0.0
Financial Activities,2016-10-01,0.0,0.0
Professional & Business Services,2016-10-01,3.0,241.0
Other Services,2016-10-01,0.0,0.0
Agricultural Services,2016-09-01,0.0,0.0
Mining,2016-09-01,0.0,0.0
Manufacturing,2016-09-01,11.0,4251.0
Wholesale Trade,2016-09-01,0.0,0.0
Information,2016-09-01,0.0,0.0
Professional & Business Services,2016-09-01,8.0,646.0
Other Services,2016-09-01,0.0,0.0
Agricultural Services,2016-08-01,0.0,0.0
Mining,2016-08-01,0.0,0.0
Manufacturing,2016-08-01,7.0,867.0
Wholesale Trade,2016-08-01,0.0,0.0
Retail Trade,2016-08-01,4.0,431.0
"Transportation, Warehousing, Utilities",2016-08-01,0.0,0.0
Financial Activities,2016-08-01,0.0,0.0
Professional & Business Services,2016-08-01,3.0,179.0
Other Services,2016-08-01,0.0,0.0
Agricultural Services,2016-07-01,0.0,0.0
Mining,2016-07-01,0.0,0.0
Construction,2016-07-01,6.0,455.0
Manufacturing,2016-07-01,21.0,3267.0
Wholesale Trade,2016-07-01,0.0,0.0
Retail Trade,2016-07-01,4.0,625.0
"Transportation, Warehousing, Utilities",2016-07-01,8.0,1022.0
Information,2016-07-01,0.0,0.0
Professional & Business Services,2016-07-01,5.0,352.0
Agricultural Services,2016-06-01,0.0,0.0
Mining,2016-06-01,0.0,0.0
Construction,2016-06-01,5.0,362.0
Manufacturing,2016-06-01,3.0,238.0
"Transportation, Warehousing, Utilities",2016-06-01,9.0,882.0
Financial Activities,2016-06-01,0.0,0.0
Professional & Business Services,2016-06-01,5.0,293.0
Educational and Health Services,2016-06-01,3.0,232.0
Leisure and Hospitality,2016-06-01,4.0,358.0
Agricultural Services,2016-05-01,0.0,0.0
Mining,2016-05-01,0.0,0.0
Construction,2016-05-01,5.0,336.0
Manufacturing,2016-05-01,7.0,857.0
Wholesale Trade,2016-05-01,0.0,0.0
"Transportation, Warehousing, Utilities",2016-05-01,0.0,0.0
Professional & Business Services,2016-05-01,10.0,794.0
Educational and Health Services,2016-05-01,4.0,242.0
Leisure and Hospitality,2016-05-01,0.0,0.0
Other Services,2016-05-01,0.0,0.0
Agricultural Services,2016-04-01,0.0,0.0
Mining,2016-04-01,0.0,0.0
Construction,2016-04-01,9.0,1004.0
Manufacturing,2016-04-01,17.0,5431.0
Wholesale Trade,2016-04-01,0.0,0.0
Retail Trade,2016-04-01,3.0,560.0
"Transportation, Warehousing, Utilities",2016-04-01,3.0,596.0
Professional & Business Services,2016-04-01,12.0,951.0
Leisure and Hospitality,2016-04-01,3.0,235.0
Agricultural Services,2016-03-01,0.0,0.0
Mining,2016-03-01,0.0,0.0
Manufacturing,2016-03-01,7.0,861.0
Wholesale Trade,2016-03-01,0.0,0.0
"Transportation, Warehousing, Utilities",2016-03-01,3.0,841.0
Financial Activities,2016-03-01,0.0,0.0
Professional & Business Services,2016-03-01,8.0,605.0
Leisure and Hospitality,2016-03-01,5.0,511.0
Other Services,2016-03-01,0.0,0.0
Agricultural Services,2016-02-01,0.0,0.0
Mining,2016-02-01,3.0,285.0
"Transportation, Warehousing, Utilities",2016-02-01,0.0,0.0
Information,2016-02-01,0.0,0.0
Professional & Business Services,2016-02-01,3.0,273.0
Educational and Health Services,2016-02-01,3.0,171.0
Leisure and Hospitality,2016-02-01,0.0,0.0
Other Services,2016-02-01,0.0,0.0
Agricultural Services,2016-01-01,0.0,0.0
Construction,2016-01-01,16.0,1048.0
Manufacturing,2016-01-01,15.0,5262.0
Retail Trade,2016-01-01,5.0,856.0
"Transportation, Warehousing, Utilities",2016-01-01,6.0,616.0
Financial Activities,2016-01-01,0.0,0.0
Professional & Business Services,2016-01-01,10.0,774.0
Leisure and Hospitality,2016-01-01,6.0,463.0
Other Services,2016-01-01,0.0,0.0
Agricultural Services,2015-12-01,0.0,0.0
Construction,2015-12-01,31.0,2792.0
Manufacturing,2015-12-01,24.0,3651.0
Wholesale Trade,2015-12-01,0.0,0.0
"Transportation, Warehousing, Utilities",2015-12-01,6.0,918.0
Information,2015-12-01,0.0,0.0
Financial Activities,2015-12-01,0.0,0.0
Professional & Business Services,2015-12-01,20.0,1919.0
Leisure and Hospitality,2015-12-01,8.0,1326.0
Other Services,2015-12-01,0.0,0.0
Agricultural Services,2015-11-01,0.0,0.0
Mining,2015-11-01,0.0,0.0
Construction,2015-11-01,18.0,1340.0
Manufacturing,2015-11-01,9.0,853.0
Wholesale Trade,2015-11-01,0.0,0.0
"Transportation, Warehousing, Utilities",2015-11-01,3.0,303.0
Financial Activities,2015-11-01,0.0,0.0
Professional & Business Services,2015-11-01,13.0,1058.0
Leisure and Hospitality,2015-11-01,3.0,170.0
Agricultural Services,2015-10-01,0.0,0.0
Mining,2015-10-01,0.0,0.0
Construction,2015-10-01,7.0,548.0
Manufacturing,2015-10-01,9.0,1124.0
Wholesale Trade,2015-10-01,0.0,0.0
Retail Trade,2015-10-01,5.0,719.0
Information,2015-10-01,0.0,0.0
Financial Activities,2015-10-01,0.0,0.0
Professional & Business Services,2015-10-01,8.0,570.0
Leisure and Hospitality,2015-10-01,4.0,688.0
Other Services,2015-10-01,0.0,0.0
Agricultural Services,2015-09-01,0.0,0.0
Manufacturing,2015-09-01,8.0,1730.0
Wholesale Trade,2015-09-01,0.0,0.0
"Transportation, Warehousing, Utilities",2015-09-01,0.0,0.0
Information,2015-09-01,0.0,0.0
Professional & Business Services,2015-09-01,5.0,510.0
Educational and Health Services,2015-09-01,3.0,227.0
